{'doc_id': 'APW_ENG_20010401.0004', 'sentence_id': 19, 'h': {'id': 'Q956', 'pos': [9, 10]}, 't': {'id': 'Q148', 'pos': [32, 33]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0329', 'sentence_id': 6, 'h': {'id': 'Q1114772', 'pos': [16, 18]}, 't': {'id': 'Q1297', 'pos': [7, 8]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0331', 'sentence_id': 2, 'h': {'id': 'Q41', 'pos': [11, 12]}, 't': {'id': 'Q219', 'pos': [3, 4]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0333', 'sentence_id': 2, 'h': {'id': 'Q148', 'pos': [4, 5]}, 't': {'id': 'Q865', 'pos': [0, 1]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0333', 'sentence_id': 3, 'h': {'id': 'Q865', 'pos': [8, 9]}, 't': {'id': 'Q148', 'pos': [10, 11]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0345', 'sentence_id': 3, 'h': {'id': 'Q1132413', 'pos': [4, 6]}, 't': {'id': 'Q1297', 'pos': [0, 1]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0347', 'sentence_id': 5, 'h': {'id': 'Q954', 'pos': [16, 17]}, 't': {'id': 'Q1030', 'pos': [17, 18]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0347', 'sentence_id': 8, 'h': {'id': 'Q155', 'pos': [11, 12]}, 't': {'id': 'Q159', 'pos': [3, 4]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0379', 'sentence_id': 20, 'h': {'id': 'Q858', 'pos': [34, 35]}, 't': {'id': 'Q801', 'pos': [0, 1]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0379', 'sentence_id': 20, 'h': {'id': 'Q11975', 'pos': [11, 13]}, 't': {'id': 'Q34389', 'pos': [9, 11]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0380', 'sentence_id': 1, 'h': {'id': 'Q875556', 'pos': [21, 22]}, 't': {'id': 'Q801', 'pos': [17, 18]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0380', 'sentence_id': 3, 'h': {'id': 'Q635', 'pos': [4, 5]}, 't': {'id': 'Q1048', 'pos': [16, 18]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0380', 'sentence_id': 4, 'h': {'id': 'Q801', 'pos': [12, 13]}, 't': {'id': 'Q414', 'pos': [25, 26]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0380', 'sentence_id': 4, 'h': {'id': 'Q3711', 'pos': [20, 21]}, 't': {'id': 'Q403', 'pos': [15, 16]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0382', 'sentence_id': 1, 'h': {'id': 'Q424', 'pos': [37, 38]}, 't': {'id': 'Q881', 'pos': [35, 36]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0389', 'sentence_id': 9, 'h': {'id': 'Q148', 'pos': [7, 8]}, 't': {'id': 'Q18285', 'pos': [16, 18]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0390', 'sentence_id': 9, 'h': {'id': 'Q6500954', 'pos': [17, 18]}, 't': {'id': 'Q3838', 'pos': [16, 17]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0395', 'sentence_id': 9, 'h': {'id': 'Q1563', 'pos': [24, 25]}, 't': {'id': 'Q241', 'pos': [4, 5]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0398', 'sentence_id': 13, 'h': {'id': 'Q858', 'pos': [6, 7]}, 't': {'id': 'Q801', 'pos': [0, 1]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0410', 'sentence_id': 26, 'h': {'id': 'Q159', 'pos': [12, 13]}, 't': {'id': 'Q5187', 'pos': [19, 20]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0410', 'sentence_id': 26, 'h': {'id': 'Q159', 'pos': [7, 8]}, 't': {'id': 'Q183', 'pos': [10, 11]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0415', 'sentence_id': 1, 'h': {'id': 'Q36678', 'pos': [18, 20]}, 't': {'id': 'Q801', 'pos': [9, 10]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0422', 'sentence_id': 7, 'h': {'id': 'Q1588', 'pos': [15, 16]}, 't': {'id': 'Q1494', 'pos': [14, 15]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0434', 'sentence_id': 22, 'h': {'id': 'Q865', 'pos': [46, 47]}, 't': {'id': 'Q148', 'pos': [14, 15]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0439', 'sentence_id': 1, 'h': {'id': 'Q956', 'pos': [0, 1]}, 't': {'id': 'Q148', 'pos': [35, 36]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0444', 'sentence_id': 1, 'h': {'id': 'Q414', 'pos': [0, 1]}, 't': {'id': 'Q77', 'pos': [28, 29]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0444', 'sentence_id': 21, 'h': {'id': 'Q211', 'pos': [26, 27]}, 't': {'id': 'Q189', 'pos': [19, 20]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0446', 'sentence_id': 4, 'h': {'id': 'Q340', 'pos': [1, 2]}, 't': {'id': 'Q65', 'pos': [8, 10]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0460', 'sentence_id': 7, 'h': {'id': 'Q148', 'pos': [4, 5]}, 't': {'id': 'Q865', 'pos': [0, 1]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0460', 'sentence_id': 7, 'h': {'id': 'Q1537', 'pos': [15, 16]}, 't': {'id': 'Q1546', 'pos': [17, 18]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0460', 'sentence_id': 7, 'h': {'id': 'Q865', 'pos': [9, 10]}, 't': {'id': 'Q148', 'pos': [28, 29]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0461', 'sentence_id': 26, 'h': {'id': 'Q2037048', 'pos': [8, 9]}, 't': {'id': 'Q1486', 'pos': [6, 8]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0461', 'sentence_id': 26, 'h': {'id': 'Q810', 'pos': [7, 8]}, 't': {'id': 'Q801', 'pos': [0, 1]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0468', 'sentence_id': 1, 'h': {'id': 'Q36678', 'pos': [21, 23]}, 't': {'id': 'Q801', 'pos': [5, 6]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0468', 'sentence_id': 9, 'h': {'id': 'Q16', 'pos': [15, 16]}, 't': {'id': 'Q1979', 'pos': [2, 5]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0481', 'sentence_id': 1, 'h': {'id': 'Q36678', 'pos': [38, 40]}, 't': {'id': 'Q801', 'pos': [30, 31]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0481', 'sentence_id': 9, 'h': {'id': 'Q423', 'pos': [18, 20]}, 't': {'id': 'Q18808', 'pos': [28, 29]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0488', 'sentence_id': 1, 'h': {'id': 'Q862148', 'pos': [0, 2]}, 't': {'id': 'Q36091', 'pos': [2, 3]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0494', 'sentence_id': 1, 'h': {'id': 'Q884', 'pos': [24, 26]}, 't': {'id': 'Q423', 'pos': [3, 5]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0497', 'sentence_id': 1, 'h': {'id': 'Q17', 'pos': [19, 20]}, 't': {'id': 'Q48', 'pos': [27, 28]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0521', 'sentence_id': 27, 'h': {'id': 'Q188920', 'pos': [9, 12]}, 't': {'id': 'Q1113243', 'pos': [3, 4]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0524', 'sentence_id': 1, 'h': {'id': 'Q1649', 'pos': [22, 23]}, 't': {'id': 'Q1558', 'pos': [24, 25]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0538', 'sentence_id': 12, 'h': {'id': 'Q200441', 'pos': [33, 34]}, 't': {'id': 'Q43', 'pos': [41, 42]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0538', 'sentence_id': 16, 'h': {'id': 'Q846', 'pos': [7, 8]}, 't': {'id': 'Q851', 'pos': [8, 10]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0538', 'sentence_id': 16, 'h': {'id': 'Q1780382', 'pos': [21, 22]}, 't': {'id': 'Q13677', 'pos': [13, 18]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0545', 'sentence_id': 1, 'h': {'id': 'Q2060', 'pos': [14, 15]}, 't': {'id': 'Q2062', 'pos': [8, 9]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0545', 'sentence_id': 1, 'h': {'id': 'Q16', 'pos': [6, 7]}, 't': {'id': 'Q34', 'pos': [10, 11]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0556', 'sentence_id': 1, 'h': {'id': 'Q212135', 'pos': [0, 4]}, 't': {'id': 'Q13974', 'pos': [5, 6]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0560', 'sentence_id': 1, 'h': {'id': 'Q869', 'pos': [17, 18]}, 't': {'id': 'Q1861', 'pos': [28, 29]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0566', 'sentence_id': 10, 'h': {'id': 'Q335222', 'pos': [5, 7]}, 't': {'id': 'Q34', 'pos': [8, 9]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0568', 'sentence_id': 1, 'h': {'id': 'Q130', 'pos': [22, 23]}, 't': {'id': 'Q129', 'pos': [12, 13]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0568', 'sentence_id': 1, 'h': {'id': 'Q43', 'pos': [9, 10]}, 't': {'id': 'Q3640', 'pos': [1, 2]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0575', 'sentence_id': 28, 'h': {'id': 'Q423', 'pos': [0, 2]}, 't': {'id': 'Q884', 'pos': [14, 16]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0579', 'sentence_id': 1, 'h': {'id': 'Q774', 'pos': [5, 6]}, 't': {'id': 'Q12585', 'pos': [15, 17]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0591', 'sentence_id': 25, 'h': {'id': 'Q816', 'pos': [2, 3]}, 't': {'id': 'Q1261', 'pos': [5, 6]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0622', 'sentence_id': 2, 'h': {'id': 'Q183', 'pos': [1, 2]}, 't': {'id': 'Q46', 'pos': [30, 31]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010401.0622', 'sentence_id': 7, 'h': {'id': 'Q148', 'pos': [0, 1]}, 't': {'id': 'Q865', 'pos': [2, 3]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0146', 'sentence_id': 2, 'h': {'id': 'Q340814', 'pos': [0, 3]}, 't': {'id': 'Q2141212', 'pos': [4, 6]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0150', 'sentence_id': 40, 'h': {'id': 'Q42884', 'pos': [16, 17]}, 't': {'id': 'Q183', 'pos': [10, 11]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0163', 'sentence_id': 14, 'h': {'id': 'Q928', 'pos': [15, 16]}, 't': {'id': 'Q148', 'pos': [0, 1]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0166', 'sentence_id': 16, 'h': {'id': 'Q185722', 'pos': [1, 4]}, 't': {'id': 'Q29', 'pos': [5, 6]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0166', 'sentence_id': 16, 'h': {'id': 'Q20165', 'pos': [21, 22]}, 't': {'id': 'Q6686', 'pos': [11, 12]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0169', 'sentence_id': 5, 'h': {'id': 'Q484365', 'pos': [13, 15]}, 't': {'id': 'Q2744', 'pos': [0, 2]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0169', 'sentence_id': 5, 'h': {'id': 'Q539206', 'pos': [18, 19]}, 't': {'id': 'Q471891', 'pos': [10, 12]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0169', 'sentence_id': 27, 'h': {'id': 'Q437', 'pos': [22, 23]}, 't': {'id': 'Q215', 'pos': [26, 27]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0173', 'sentence_id': 1, 'h': {'id': 'Q40030', 'pos': [20, 24]}, 't': {'id': 'Q155', 'pos': [1, 2]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0174', 'sentence_id': 2, 'h': {'id': 'Q159', 'pos': [13, 14]}, 't': {'id': 'Q414', 'pos': [10, 11]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0178', 'sentence_id': 1, 'h': {'id': 'Q276366', 'pos': [57, 58]}, 't': {'id': 'Q271410', 'pos': [45, 46]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0178', 'sentence_id': 6, 'h': {'id': 'Q1567862', 'pos': [29, 30]}, 't': {'id': 'Q796', 'pos': [35, 36]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0178', 'sentence_id': 7, 'h': {'id': 'Q1494', 'pos': [13, 14]}, 't': {'id': 'Q173', 'pos': [10, 11]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0187', 'sentence_id': 14, 'h': {'id': 'Q115', 'pos': [18, 19]}, 't': {'id': 'Q977', 'pos': [16, 17]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0187', 'sentence_id': 14, 'h': {'id': 'Q465952', 'pos': [26, 27]}, 't': {'id': 'Q152057', 'pos': [24, 25]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0187', 'sentence_id': 14, 'h': {'id': 'Q1246', 'pos': [28, 29]}, 't': {'id': 'Q403', 'pos': [33, 34]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0187', 'sentence_id': 14, 'h': {'id': 'Q17', 'pos': [8, 9]}, 't': {'id': 'Q159', 'pos': [29, 30]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0212', 'sentence_id': 10, 'h': {'id': 'Q183', 'pos': [17, 18]}, 't': {'id': 'Q32', 'pos': [19, 20]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0226', 'sentence_id': 20, 'h': {'id': 'Q217426', 'pos': [6, 7]}, 't': {'id': 'Q258', 'pos': [7, 9]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0246', 'sentence_id': 11, 'h': {'id': 'Q114', 'pos': [1, 2]}, 't': {'id': 'Q1036', 'pos': [15, 16]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0248', 'sentence_id': 20, 'h': {'id': 'Q96', 'pos': [20, 21]}, 't': {'id': 'Q39', 'pos': [17, 18]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0272', 'sentence_id': 11, 'h': {'id': 'Q724', 'pos': [11, 12]}, 't': {'id': 'Q759', 'pos': [0, 2]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0274', 'sentence_id': 16, 'h': {'id': 'Q35', 'pos': [31, 32]}, 't': {'id': 'Q1748', 'pos': [30, 31]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0274', 'sentence_id': 16, 'h': {'id': 'Q1261', 'pos': [13, 14]}, 't': {'id': 'Q816', 'pos': [6, 7]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0289', 'sentence_id': 9, 'h': {'id': 'Q155', 'pos': [17, 18]}, 't': {'id': 'Q414', 'pos': [6, 7]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0300', 'sentence_id': 24, 'h': {'id': 'Q1068102', 'pos': [10, 11]}, 't': {'id': 'Q629998', 'pos': [0, 2]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0321', 'sentence_id': 26, 'h': {'id': 'Q1370', 'pos': [31, 32]}, 't': {'id': 'Q1603', 'pos': [38, 39]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0321', 'sentence_id': 26, 'h': {'id': 'Q1986', 'pos': [16, 17]}, 't': {'id': 'Q2014', 'pos': [18, 19]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0339', 'sentence_id': 6, 'h': {'id': 'Q679322', 'pos': [5, 7]}, 't': {'id': 'Q851', 'pos': [0, 2]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0341', 'sentence_id': 26, 'h': {'id': 'Q1415262', 'pos': [19, 20]}, 't': {'id': 'Q3072973', 'pos': [21, 23]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0341', 'sentence_id': 26, 'h': {'id': 'Q29', 'pos': [23, 24]}, 't': {'id': 'Q183', 'pos': [4, 5]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0348', 'sentence_id': 24, 'h': {'id': 'Q1494', 'pos': [15, 16]}, 't': {'id': 'Q173', 'pos': [12, 13]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0348', 'sentence_id': 24, 'h': {'id': 'Q483118', 'pos': [28, 30]}, 't': {'id': 'Q34460', 'pos': [2, 4]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0352', 'sentence_id': 3, 'h': {'id': 'Q85', 'pos': [9, 10]}, 't': {'id': 'Q79', 'pos': [10, 11]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0352', 'sentence_id': 4, 'h': {'id': 'Q403', 'pos': [31, 32]}, 't': {'id': 'Q222', 'pos': [22, 23]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0381', 'sentence_id': 9, 'h': {'id': 'Q423', 'pos': [5, 7]}, 't': {'id': 'Q884', 'pos': [10, 12]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0389', 'sentence_id': 1, 'h': {'id': 'Q4730788', 'pos': [13, 15]}, 't': {'id': 'Q168000', 'pos': [19, 21]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0400', 'sentence_id': 24, 'h': {'id': 'Q956', 'pos': [10, 11]}, 't': {'id': 'Q148', 'pos': [12, 13]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0409', 'sentence_id': 3, 'h': {'id': 'Q2091', 'pos': [37, 38]}, 't': {'id': 'Q1985', 'pos': [39, 40]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0409', 'sentence_id': 4, 'h': {'id': 'Q801', 'pos': [16, 17]}, 't': {'id': 'Q810', 'pos': [25, 26]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0431', 'sentence_id': 3, 'h': {'id': 'Q1246', 'pos': [7, 8]}, 't': {'id': 'Q25270', 'pos': [49, 50]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0431', 'sentence_id': 4, 'h': {'id': 'Q179248', 'pos': [15, 16]}, 't': {'id': 'Q1246', 'pos': [23, 24]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0518', 'sentence_id': 1, 'h': {'id': 'Q159', 'pos': [7, 8]}, 't': {'id': 'Q874', 'pos': [9, 10]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0534', 'sentence_id': 26, 'h': {'id': 'Q191', 'pos': [10, 11]}, 't': {'id': 'Q219', 'pos': [31, 32]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0559', 'sentence_id': 6, 'h': {'id': 'Q148', 'pos': [13, 14]}, 't': {'id': 'Q956', 'pos': [6, 7]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0579', 'sentence_id': 5, 'h': {'id': 'Q29', 'pos': [21, 22]}, 't': {'id': 'Q2807', 'pos': [20, 21]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0579', 'sentence_id': 7, 'h': {'id': 'Q131', 'pos': [39, 40]}, 't': {'id': 'Q130', 'pos': [37, 38]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0597', 'sentence_id': 27, 'h': {'id': 'Q105557', 'pos': [4, 5]}, 't': {'id': 'Q155', 'pos': [3, 4]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0628', 'sentence_id': 1, 'h': {'id': 'Q128', 'pos': [32, 33]}, 't': {'id': 'Q129', 'pos': [23, 24]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0628', 'sentence_id': 8, 'h': {'id': 'Q109', 'pos': [34, 35]}, 't': {'id': 'Q108', 'pos': [28, 29]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0628', 'sentence_id': 8, 'h': {'id': 'Q43', 'pos': [14, 15]}, 't': {'id': 'Q229', 'pos': [0, 1]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0628', 'sentence_id': 11, 'h': {'id': 'Q38', 'pos': [5, 6]}, 't': {'id': 'Q46', 'pos': [11, 12]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0628', 'sentence_id': 16, 'h': {'id': 'Q801', 'pos': [14, 15]}, 't': {'id': 'Q794', 'pos': [8, 9]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0628', 'sentence_id': 18, 'h': {'id': 'Q148', 'pos': [21, 22]}, 't': {'id': 'Q884', 'pos': [19, 21]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0628', 'sentence_id': 25, 'h': {'id': 'Q192527', 'pos': [5, 8]}, 't': {'id': 'Q2283', 'pos': [4, 5]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0628', 'sentence_id': 26, 'h': {'id': 'Q1033', 'pos': [12, 13]}, 't': {'id': 'Q114', 'pos': [11, 12]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0655', 'sentence_id': 1, 'h': {'id': 'Q5492', 'pos': [17, 19]}, 't': {'id': 'Q16', 'pos': [3, 4]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0676', 'sentence_id': 10, 'h': {'id': 'Q159', 'pos': [9, 10]}, 't': {'id': 'Q697', 'pos': [18, 19]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0676', 'sentence_id': 10, 'h': {'id': 'Q159', 'pos': [34, 35]}, 't': {'id': 'Q212', 'pos': [37, 38]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0681', 'sentence_id': 16, 'h': {'id': 'Q36', 'pos': [0, 1]}, 't': {'id': 'Q159', 'pos': [15, 16]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0690', 'sentence_id': 8, 'h': {'id': 'Q739', 'pos': [6, 7]}, 't': {'id': 'Q736', 'pos': [7, 8]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0690', 'sentence_id': 9, 'h': {'id': 'Q30', 'pos': [2, 4]}, 't': {'id': 'Q32', 'pos': [8, 9]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0691', 'sentence_id': 10, 'h': {'id': 'Q6175275', 'pos': [18, 20]}, 't': {'id': 'Q5496569', 'pos': [9, 11]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0691', 'sentence_id': 10, 'h': {'id': 'Q301345', 'pos': [0, 16]}, 't': {'id': 'Q262524', 'pos': [0, 2]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0696', 'sentence_id': 5, 'h': {'id': 'Q4634523', 'pos': [24, 29]}, 't': {'id': 'Q129817', 'pos': [13, 15]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0696', 'sentence_id': 7, 'h': {'id': 'Q183', 'pos': [9, 10]}, 't': {'id': 'Q46', 'pos': [3, 4]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0703', 'sentence_id': 5, 'h': {'id': 'Q833', 'pos': [5, 6]}, 't': {'id': 'Q1865', 'pos': [3, 5]}, 'relation': 'NA'}
{'doc_id': 'APW_ENG_20010402.0703', 'sentence_id': 7, 'h': {'id': 'Q96', 'pos': [15, 16]}, 't': {'id': 'Q783', 'pos': [13, 14]}, 'relation': 'NA'}
